the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,COST,indoor,type,category,description,image
POINT (-74.06303178855111 40.615120837755356),Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,"10,305",FALSE,TRUE,people,activism,"The Alice Austen House fosters creative expression, explores personal identity, and educates and inspires the public through the interpretation of the photographs, life and historic home of American photographer, Alice Austen (1866–1952).

The House and its surrounding waterfront park are a nationally designated site of LGBTQ+ history, centering on the 55 year relationship between Alice Austen and her life partner Gertrude Tate, providing an important window into pre-Stonewall LGBTQ+ history and enriching our understanding of the important life and work of Alice Austen.","https://media.cntraveler.com/photos/6665fd8126977821ceb2788f/16:9/w_2560,c_limit/Alice%20Austen%20House_Clear%20Comfort,%202018.JPG"
POINT (-73.94729768541572 40.833853500753314),American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,,New York,"10,032",FALSE,TRUE,art,,"Arts and Letters represents the highest standards of artistic achievement in this country. Its community of members are among the leading contemporary architects, visual artists, writers, and musical composers. Arts and Letters honors creative accomplishment through the election of members and by presenting awards and curating public exhibitions as well as interdisciplinary programs.

The academy's galleries are open to the public on a published schedule. Exhibits include an annual exhibition of paintings, sculptures, photographs and works on paper by contemporary artists nominated by its members, and an annual exhibition of works by newly elected members and recipients of honors and awards. A permanent exhibit of the recreated studio of composer Charles Ives was opened in 2014.
",https://images.squarespace-cdn.com/content/v1/5c27bea6c3c16a3f1c3c95d0/1560774991294-9GNZJ2WAM5H0XK2QGFNQ/the-american-academy-of-arts-and-letters-new-york-ny-museums-for-american-academy-of-arts-and-letters.jpg
POINT (-73.97810302110001 40.76162497138548),American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,"10,019",0,TRUE,art,folk art,"The American Folk Art Museum is an art museum on the Upper West Side of Manhattan in New York City, at 2 Lincoln Square, Columbus Avenue at 66th Street. It is the premier institution devoted to the aesthetic appreciation of folk art and creative expressions of contemporary self-taught artists from the United States and abroad.

Its collection holds approximately 7,500 objects from the 18th century to the present. These works span both traditional folk art and the work of modern and contemporary self-taught artists and Art Brut.",https://folkartmuseum.org/content/uploads/2019/07/EX-2019-Memory-Palaces-AFAM-060.jpg
POINT (-74.0396848374904 40.69905626244391),American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0,FALSE,TRUE,history,location,"The Ellis Island National Museum of Immigration is a living monument to the story of the American people. Housed inside the restored Main Building of the former immigration complex, the Museum documents the rich story of American immigration through a carefully curated collection of photographs, heirlooms, and searchable historic records.",https://cdn-imgix.headout.com/media/images/9ba23602851c79f8a59038e54f4bef19-About.jpg?auto=format&w=1222.3999999999999&h=687.6&q=90&ar=16%3A9&crop=faces&fit=crop
POINT (-73.97364816377815 40.78082623457644),American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,"10,024",FALSE,TRUE,history,artifacts,"Since its founding in 1869, the Museum has advanced its global mission to discover, interpret, and disseminate information about human cultures, the natural world, and the universe through a wide-ranging program of scientific research, education, and exhibition. Located in Theodore Roosevelt Park, across the street from Central Park, the museum complex comprises 21 interconnected buildings housing 45 permanent exhibition halls, in addition to a planetarium and a library. The museum collections contain about 32 million specimens of plants, animals, fungi, fossils, minerals, rocks, meteorites, human remains, and human cultural artifacts, as well as specialized collections for frozen tissue and genomic and astrophysical data, of which only a small fraction can be displayed at any given time.","https://assets.simpleviewinc.com/simpleview/image/upload/c_limit,h_1200,q_75,w_1200/v1/crm/newyorkstate/DF_080731_7852a_40967E44-7BCD-4FD2-A1C02A47169A341F_df754733-c75b-bd9d-45a7fd6763a2a2d6.jpg"
POINT (-74.00701187920873 40.72352659262823),American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,11th Floor,New York,"10,013",FALSE,TRUE,history,artifacts,"The American Numismatic Society was organized in 1858 and was incorporated in 1865 and operates in New York State under Section 501(c)(3). The original objectives were “the collection and preservation of coins and medals, the investigations therewith, and the popularization of the science of numismatics.” Many of its exhibits deal mostly with coins and medals that have a history dating to ancient times. Exhibits are always changing due to the large collection it has.
",https://numismatics.org/wp-content/uploads/toledo-building-thumb-scaled.jpg
POINT (-73.96597045258356 40.76882422895272),Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,,New York,"10,021",FALSE,TRUE,culture,Americas,"The Americas Society promotes the understanding of the economic, political, and social issues confronting Latin America, the Caribbean, and Canada; its mission is ""to increase public awareness and appreciation of the diverse cultural heritage of the Americas and the importance of the inter-American relationship.""
",https://visitingamuseum.com/wp-content/uploads/2018/07/americas-society-museum-2024.jpg?w=640
POINT (-73.99963036903092 40.721127449476676),Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,"10,012",FALSE,TRUE,people,activism,"The Anne Frank Center USA traces its roots to the efforts of Anne Frank’s father, Otto Frank, who sought to preserve his daughter’s legacy. In the 1950s, Otto Frank worked tirelessly to raise funds in the U.S. to support the restoration of the Anne Frank House in Amsterdam. His determination led to the establishment of the Anne Frank Foundation in New York, which was dedicated to raising funds for this cause. Key figures such as Senator John F. Kennedy and former First Lady Eleanor Roosevelt supported his mission, and Otto Frank’s efforts proved successful when the Anne Frank House opened its doors to the public in 1960.

As the movement to honor Anne’s legacy gained momentum, the Anne Frank Foundation evolved into the Anne Frank Center USA, securing official 501(c)(3) nonprofit status in 1977. Under the leadership of Holocaust survivor Jack Polak, the organization grew to become a powerful voice for combating prejudice and promoting tolerance. Polak’s tireless work on behalf of the Center earned him a knighthood by Queen Beatrix of the Netherlands in 1992, acknowledging his lifelong commitment to the values Anne Frank stood for.

While the Anne Frank Center USA has evolved over the years, its mission remains firmly rooted in Anne Frank’s enduring legacy – a message of hope and resilience to empower the next generation.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/14/52/85/anne-frank-center.jpg?w=1200&h=-1&s=1
POINT (-73.96428395726613 40.76983378265351),Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,,New York,"10,021",FALSE,TRUE,culture,Asian,"Asia Society Museum presents a wide range of traditional, modern, and contemporary exhibitions of Asian and Asian American art, taking new approaches to familiar masterpieces and introducing under-recognized arts and artists. The Asia Society Museum Collection comprises a traditional art collection, including the initial bequests of Mr. and Mrs. John D. Rockefeller 3rd, and a contemporary art collection. Through exhibitions and public programs, Asia Society provides a forum for the issues and viewpoints reflected in both traditional and contemporary Asian art and in Asia today.
",https://asiasociety.org/sites/default/files/styles/600w/public/2020-02/Building%20Facade.jpg
POINT (-73.80557949995756 40.87177831678272),Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,"10,464",FALSE,TRUE,living,house,"The Bartow–Pell Mansion is a historic house museum at Shore Road in the northern section of Pelham Bay Park, within the New York City borough of the Bronx. The two-story building, designed in the mid-19th century by an unknown architect, has a Greek Revival facade and federal interiors and is the last surviving manor house in the Pelham Bay Park area. The grounds surrounding the mansion take up 9 acres (3.6 ha) and include a three-story carriage house; terraced gardens overlooking Long Island Sound to the east; and a small burial plot for the Pell family, which once occupied the land. Today, the interiors have been restored to their 19th-century appearance and feature important period furnishings by New York cabinetmakers and painters. 
",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/54/14/a0/picture-of-the-grounds.jpg?w=1200&h=-1&s=1
POINT (-73.82489046385625 40.762886331946646),Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,,Queens,"11,354",FALSE,TRUE,living,house,"Among the oldest homes in New York City, Bowne House was built c. 1661 by John Bowne, who emigrated from England to Boston in 1649 and settled in Flushing, Queens, when New York was under Dutch rule. His family prospered in America: the multiple generations born and raised in the house produced businessmen, horticulturists, educators and politicians.

Over the course of 300 years, the family left its mark on American culture, participating in events of both regional and national significance - starting with John Bowne’s courageous defense of liberty of conscience in 1662 and continuing with subsequent generations’ abolitionist activities and participation in the Underground Railroad.

The Bowne House Historical Society offers tours and special events throughout the year for the general public as well as customized tours for students of all ages. Most of the approximately 5,000 objects in the Museum’s collection are original to the House; a rarity found in few cultural institutions open to the public. On view are fine examples of English and American furniture and decorative art. The Bowne House Archives, an extensive collection available to readers by appointment, document the history and civic activities of the Bowne and Parsons’ families – occupants of the house from the 17th through the 20th centuries.
",https://image.pbs.org/video-assets/THAaDt7-asset-mezzanine-16x9-qZxFWBW.jpg
POINT (-73.87974874003561 40.87823644134894),Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,,Bronx,"10,467",FALSE,TRUE,history,location,"The Bronx County Historical Society (BCHS), founded in 1955, is a non-profit educational and cultural institution chartered by the New York State Board of Regents. BCHS, the historical agency for The Bronx, a county of New York State and a borough of the city of New York, is dedicated to the collection, preservation, documentation, and public interpretation of the history of The Bronx and lower Westchester County from its earliest human habitation by indigenous peoples through the present.

BCHS disseminates information to the general public, schools, students, historians, community members, activists, urban planners, and staff of other museums and libraries on the historical, social, and economic development of The Bronx. It utilizes its collections in exhibits, both in-house and traveling, historical research, oral history projects, production of publications, and educational and cultural programming.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZl7pqz2h0GDbZYtbEZpK46uKIqAN3q8AIng&s
POINT (-73.91975017724828 40.83102977992849),Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,"10,456",0,TRUE,art,contemporary,"The Bronx Museum of the Arts (BxMA), also called the Bronx Museum of Art or simply the Bronx Museum, is an American cultural institution located in Concourse, Bronx, New York. The museum focuses on contemporary and 20th-century works created by American artists, but it has hosted exhibitions of art and design from Latin America, Africa, and Asia. Its permanent collection consists of more than 800 paintings, sculptures, photographs, and works on paper. The museum is part of the Grand Concourse Historic District.
",https://www.nyc-arts.org/wp-content/uploads/2012/03/Bronx_Museum_white_jeh.jpg
POINT (-73.94401601383748 40.67450699609931),Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,"11,213",FALSE,TRUE,children,,"Founded in 1899 as the world’s first children’s museum, Brooklyn Children’s Museum (BCM) is New York City’s largest cultural institution designed especially for families. Proudly based in Crown Heights, Brooklyn, BCM serves 300,000 children and caregivers annually with exhibits and programs grounded in visual arts, music and performance, natural science, and world cultures. Learn more about our exhibits here and check our calendar for information on upcoming events at the Museum.
",https://www.brooklynkids.org/wp-content/uploads/2021/09/World-Brooklyn-1-1400x933.jpg
POINT (-73.99240540393131 40.694802974910445),Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,"11,201",FALSE,TRUE,history,location,"The Society is housed in an 1881 building designed by architect George B. Post. The National Historic Landmark is noted for its rich terra cotta color and detailing. The landmarked interior library holds an impressive collection of materials, and features elaborately carved woodwork, original furnishings and stained-glass windows.

A major long-term exhibit includes an in-depth look at African American leaders of the borough’s anti-slavery movement. Rotating exhibits include the vibrant history of Prospect Park, rare photographs of author Truman Capote and his Brooklyn Heights neighborhood, and much more.",https://static.bklynlibrary.org/prod/public/images/cbh/landing%20page/Othmer-Feature-CBH.jpg
POINT (-73.96358506797661 40.67108321212629),Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,"11,238",FALSE,TRUE,art,,"For 200 years, the Brooklyn Museum has been recognized as a trailblazer. Through a vast array of exhibitions, public programs, and community-centered initiatives, it continues to broaden the narratives of art, uplift a multitude of voices, and center creative expression within important dialogues of the day. Housed in a landmark building in the heart of Brooklyn, the Museum is home to an astounding encyclopedic collection of more than 140,000 objects representing cultures worldwide and over 6,000 years of history—from ancient Egyptian masterpieces to significant American works, to groundbreaking installations presented in the only feminist art center of its kind. As one of the oldest and largest art museums in the country, the Brooklyn Museum remains committed to innovation, creating compelling experiences for its communities and celebrating the power of art to inspire awe, conversation, and joy.
",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0b/9e/97/the-facade-of-the-brooklyn.jpg?w=900&h=500&s=1
POINT (-74.00731553374261 40.74789760206738),Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,,New York,"10,011",FALSE,TRUE,art,contemporary,"The Chelsea Art Museum (CAM) was a contemporary art museum located at 556 West 22nd Street on the corner of Eleventh Avenue in the Chelsea neighborhood of Manhattan, New York City. The museum focused on post-war European art. The museum was in a 30,000 sq ft (2,800 m2) renovated historic building, which was also the location of the Miotte Foundation, which was committed to archiving and protecting the works of Jean Miotte and providing new scholarship and research on L'Art Informel. Rotating selections of Miotte's work were shown at the museum on a regular basis, as are selections from the museum permanent collection, which contains 500 works, including paintings, etchings, sculpture, ceramics, tapestries, and works on paper, primarily focusing on L'Art Informel and Abstract Expressionist artists from Europe and the United States, including Pol Bury, Mimmo Rotella, and Jean-Paul Riopelle.",https://cdn.prod.website-files.com/5bf590f72ee68227904bc68f/5f4791029221dd220e650ffd_IMG_5469.jpeg
